index,true_label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,Soil_Type1,Soil_Type2,Soil_Type3,Soil_Type4,Soil_Type5,Soil_Type6,Soil_Type7,Soil_Type8,Soil_Type9,Soil_Type10,Soil_Type11,Soil_Type12,Soil_Type13,Soil_Type14,Soil_Type15,Soil_Type16,Soil_Type17,Soil_Type18,Soil_Type19,Soil_Type20,Soil_Type21,Soil_Type22,Soil_Type23,Soil_Type24,Soil_Type25,Soil_Type26,Soil_Type27,Soil_Type28,Soil_Type29,Soil_Type30,Soil_Type31,Soil_Type32,Soil_Type33,Soil_Type34,Soil_Type35,Soil_Type36,Soil_Type37,Soil_Type38,Soil_Type39,Soil_Type40,label,description_lengths,description_lengths_unnormalized,is_error,L_0,L_1,L_2,L_3,L_4,L_5,r_min,r_med,relative_position,pseudo_probability,normalized_entropy,description_length_margin,description_length_true_cost,kullback_leibler_divergence
3906,3,2115,135,16,0,0,1142,244,231,111,1390,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.16708055 0.1060389  0.11957497 0.17012675 0.15843205 0.27874678],"[112.40552472  71.3389947   80.44555407 114.45489951 106.58713977
 187.53038141]",1,112.40552472,71.3389947,80.44555407,114.45489951,106.58713977,187.53038141,1.0,1.0,0.3710766006884929,1.0,0.0006256757845786906,0.9864639312554335,0.1701267542408615,1.0
14843,0,3292,201,30,190,32,2291,193,249,173,3698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[0.04732398 0.0845691  0.24602821 0.18306304 0.18515891 0.25385676],"[ 37.59037989  67.17491846 195.42509277 145.41061034 147.07540374
 201.6434679 ]",0,37.59037989,67.17491846,195.42509277,145.41061034,147.07540374,201.6434679,0.5595895127408899,0.24837395811213558,0.0,1.4166445794216997e-13,2.4199664834313044e-12,0.9627548805313118,0.047323982645994155,0.5000001659681439
18187,1,2998,161,17,511,20,6404,235,242,131,2929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.0482404  0.04290248 0.25555291 0.16983188 0.18363659 0.29983575],"[ 36.97190697  32.88087307 195.8582281  130.16079759 140.74085969
 229.79702355]",0,36.97190697,32.88087307,195.8582281,130.16079759,140.74085969,229.79702355,0.8893475009496016,0.22412802576428326,0.0,0.016446911608450465,0.046807921438360156,0.9946620796176354,0.04290247571654091,0.5059811730671784
22164,1,2774,165,13,60,1,4097,231,244,141,5376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.08589982 0.04185636 0.20411397 0.20385714 0.17854354 0.28572915],"[ 64.57771269  31.46674999 153.44866663 153.25558922 134.22534727
 214.80527375]",0,64.57771269,31.46674999,153.44866663,153.25558922,134.22534727,214.80527375,0.48726950334345653,0.21842426778215077,0.0,4.218847493575595e-15,7.940654679280357e-14,0.9559565407586547,0.04185636440713243,0.5000001638766359
24978,1,2506,137,10,134,24,1140,235,237,132,4624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09583604 0.08596267 0.19696302 0.15614986 0.18071302 0.2843754 ],"[ 65.28971056  58.56333614 134.18395838 106.37938997 123.11340494
 193.73492985]",0,65.28971056,58.56333614,134.18395838,106.37938997,123.11340494,193.73492985,0.8969765011484379,0.47023610940996163,0.0,0.0011974361211365414,0.005163950558499053,0.9901266363494704,0.08596267144736536,0.5004322222697035
28396,1,2821,178,6,134,33,3197,223,244,155,6523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,[0.06214336 0.04429455 0.20505706 0.18937572 0.20403392 0.2950954 ],"[ 43.50516835  31.00962122 143.55583601 132.5776823  142.83955986
 206.58965568]",0,43.50516835,31.00962122,143.55583601,132.5776823,142.83955986,206.58965568,0.7127801683196389,0.23173747476006382,0.0,3.7432704631523706e-06,2.8194347963124126e-05,0.9821511951005951,0.04429455336384509,0.5000014963203525
28833,1,2642,343,20,42,16,1758,175,205,166,5041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0.09819878 0.05204218 0.18197389 0.1884106  0.17792217 0.30145238],"[ 65.50698756  34.71658668 121.39215259 125.68599178 118.68930847
 201.09452916]",0,65.50698756,34.71658668,121.39215259,125.68599178,118.68930847,201.09452916,0.529967686999375,0.2744962857987891,0.0,4.241051954068098e-14,7.531851158942657e-13,0.9538434004575025,0.05204218012997697,0.5000001262970396
31183,1,3126,210,17,404,56,6152,205,254,180,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.04794562 0.04247138 0.26054031 0.17529884 0.17236065 0.3013832 ],"[ 36.32450107  32.1771152  197.39021765 132.80968092 130.5836569
 228.33355838]",0,36.32450107,32.1771152,197.39021765,132.80968092,130.5836569,228.33355838,0.8858240100010322,0.22177605018790275,0.0,0.015559748219298952,0.04476848198313885,0.994525761171008,0.04247138292747985,0.5056560349198339
42008,0,3172,317,8,836,0,4269,200,233,173,2106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0.03925148 0.04477633 0.2441983  0.18509344 0.21601536 0.27066509],"[ 28.3536253   32.3445431  176.39861608 133.70374058 156.04043902
 195.51711416]",0,28.3536253,32.3445431,176.39861608,133.70374058,156.04043902,195.51711416,0.876612330292073,0.20427552863444692,0.0,0.018147330429367226,0.0506421305018215,0.9944751530851317,0.03925148226907541,0.5066051596209309
46318,0,3241,278,9,845,66,4160,196,242,185,2489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0.04201196 0.05054198 0.25588889 0.20007163 0.18585216 0.26563338],"[ 28.56098976  34.35995494 173.96094539 136.01469612 126.34787756
 180.58554491]",0,28.56098976,34.35995494,173.96094539,136.01469612,126.34787756,180.58554491,0.8312289643290426,0.21927182876857432,0.0,0.0030215320162930714,0.01146798181224011,0.9914699776327157,0.042011957982575336,0.501091579531933
65836,0,3142,64,7,60,-3,3502,227,226,133,4915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,[0.04387163 0.03974608 0.31237279 0.16900956 0.19305072 0.24194922],"[ 31.61534691  28.64233696 225.10616786 121.7938841  139.11873421
 174.356616  ]",1,31.61534691,28.64233696,225.10616786,121.7938841,139.11873421,174.356616,1.0,0.22942331607957023,0.015132607036956977,0.9513398041976178,0.10858109992018448,0.9958744470555285,0.04387162832570979,0.9873967183465066
