sepal_length,sepal_width,petal_length,petal_width,class,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4,instance_hardness,comittee_vote
5.1,3.5,1.4,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.03772378516624042,0.0,0.0,0.0,0.020000000000000018,0.375,0.3,0.41379638224936494,0.5217391304347823,0.08406461199836146,Iris-setosa
4.9,3.0,1.4,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.06377799415774088,0.020000000000000018,0.0005197505197505059,0.0,0.020000000000000018,0.5,0.3,0.43196768889191994,0.6159139784946236,0.120880750550448,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.040442741592166986,0.0,0.0,0.0,0.020000000000000018,0.25,0.3,0.39963904899944946,0.5559038662486938,0.0996239330166131,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.054677206851119875,0.0,0.0,0.0,0.020000000000000018,0.25,0.3,0.409558530821011,0.5941855834328952,0.11318370082552498,Iris-setosa
5.0,3.6,1.4,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.057786483839373126,0.0,0.0,0.0,0.020000000000000018,0.375,0.3,0.39740324246279995,0.4799999999999998,0.1077490238719756,Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956865,0.05037314293575812,0.0,0.75,0.0,0.05480494766888666,0.0,0.0,0.0,0.040000000000000036,0.25,0.35714285714285715,0.4454026774090844,0.6315789473684209,0.08024909612107989,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.10091220068415041,0.0,0.0,0.0,0.020000000000000018,0.25,0.3259259259259259,0.3873917786708484,0.4924924924924925,0.08982460683209748,Iris-setosa
5.0,3.4,1.5,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.026210573078631727,0.0,0.0,0.0,0.020000000000000018,0.5,0.3,0.4132261671768194,0.4924924924924925,0.10009255834590913,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.05523513753327414,0.020000000000000018,0.07713976164680403,0.0,0.020000000000000018,0.25,0.3,0.40342688492334594,0.6218708827404479,0.11983090582932454,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.5,0.27807486631016043,0.42427926760057133,0.5941855834328952,0.12274935782224405,Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.02256645630139631,0.0,0.0,0.0,0.040000000000000036,0.375,0.3,0.4331458627880695,0.6315789473684209,0.09793073222963733,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.04553119730185484,0.0,0.0,0.0,0.020000000000000018,0.25,0.3,0.40016724758104066,0.4924924924924925,0.08374942797009466,Iris-setosa
4.8,3.0,1.4,0.1,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.06650135256988288,0.020000000000000018,0.00048274197441477984,0.0,0.020000000000000018,0.25,0.27807486631016043,0.41882357022041783,0.6159139784946236,0.12220272981644631,Iris-setosa
4.3,3.0,1.1,0.1,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.08150761232825854,0.020000000000000018,0.00040412204485751335,0.0,0.020000000000000018,0.25,0.27807486631016043,0.3839345448908093,0.6159139784946236,0.0927311312119391,Iris-setosa
5.8,4.0,1.2,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.13067484662576678,0.0,0.0,0.0,0.040000000000000036,0.25,0.3,0.36398080148906103,0.4444444444444444,0.08127773240611691,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.15155131264916477,0.0,0.0,0.0,0.18000000000000005,0.25,0.3138033763654418,0.3828396024307711,0.4799999999999998,0.06868255031929071,Iris-setosa
5.4,3.9,1.3,0.4,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.05037314293575512,0.0,0.75,0.0,0.05195742377773771,0.0,0.0,0.0,0.040000000000000036,0.25,0.35555555555555557,0.4318964882931392,0.6315789473684209,0.09414046202112203,Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.03920265780730903,0.0,0.0,0.0,0.020000000000000018,0.375,0.3259259259259259,0.4202778637308464,0.5217391304347823,0.08422030287799076,Iris-setosa
5.7,3.8,1.7,0.3,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956687,0.05037314293575634,0.0,0.75,0.0,0.13191727221911675,0.0,0.0,0.0,0.040000000000000036,0.375,0.3259259259259259,0.4041475621963426,0.4799999999999998,0.10134509527131286,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.04934601664684901,0.0,0.0,0.0,0.040000000000000036,0.375,0.3259259259259259,0.4072903108539005,0.5217391304347823,0.08942131579209156,Iris-setosa
5.4,3.4,1.7,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956587,0.05037314293575529,0.0,0.75,0.0,0.09247135842880538,0.0,0.0,0.0,0.040000000000000036,0.5,0.3,0.45841293797006244,0.6315789473684209,0.09211871025471985,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956587,0.05037314293575523,0.0,0.75,0.0,0.07379612257661028,0.0,0.0,0.0,0.040000000000000036,0.375,0.35714285714285715,0.41997162284037415,0.5217391304347823,0.08642679108227547,Iris-setosa
4.6,3.6,1.0,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.12044374009508707,0.0,0.0,0.0,0.020000000000000018,0.125,0.3,0.35752085152192753,0.4421006372225884,0.08686206991653822,Iris-setosa
5.1,3.3,1.7,0.5,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193020332587,0.05037314293952988,0.0,0.75,0.0,0.1374431531076301,0.0,0.0,0.0,0.020000000000000018,0.5,0.3956043956043956,0.46229931588943657,0.522273425499232,0.09406215232206694,Iris-setosa
4.8,3.4,1.9,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956765,0.050373142935757065,0.0,0.75,0.0,0.04770318021201403,0.0,0.0,0.0,0.020000000000000018,0.25,0.3,0.41268251009630313,0.4924924924924925,0.10949757007827543,Iris-setosa
5.0,3.0,1.6,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.05037314293575512,0.0,0.75,0.0,0.0677703052250388,0.020000000000000018,0.03378016085790925,0.0,0.020000000000000018,0.5,0.3,0.4475743432195045,0.6159139784946236,0.10576370870549634,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.0660819301995691,0.050373142935758564,0.0,0.75,0.0,0.09717153284671531,0.0,0.0,0.0,0.020000000000000018,0.5,0.35714285714285715,0.431004686004686,0.4924924924924925,0.12331992700293459,Iris-setosa
5.2,3.5,1.5,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.03999158071984865,0.0,0.0,0.0,0.040000000000000036,0.375,0.3,0.4294437033943557,0.5714285714285715,0.10026219173212936,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.04089539388721497,0.0,0.0,0.0,0.020000000000000018,0.5,0.3,0.43285834913741894,0.5714285714285715,0.10431056882939482,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.05037314293575512,0.0,0.75,0.0,0.0479148181011535,0.0,0.0,0.0,0.020000000000000018,0.25,0.3,0.4093460087064092,0.5559038662486938,0.10875874224540039,Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.05037314293575512,0.0,0.75,0.0,0.06873252562907717,0.0,0.0,0.0,0.020000000000000018,0.25,0.3,0.42559052031614136,0.5941855834328952,0.11505387498669606,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.0660819301995701,0.05037314293575951,0.0,0.75,0.0,0.1054191363251481,0.0,0.0,0.0,0.040000000000000036,0.5,0.35714285714285715,0.465406618304639,0.6315789473684209,0.0953016500119388,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa,0.0,0.0,0.0,0.25,0.2,0.06608193019956565,0.050373142935755066,0.0,0.75,0.0,0.11854103343465061,0.0,0.0,0.0,0.040000000000000036,0.25,0.27807486631016043,0.39550560353009817,0.5714285714285715,0.10028242189432346,Iris-setosa
