index,true_label,1_a,1_o,2_a,2_o,3_a,3_o,4_a,4_o,5_a,5_o,6_a,6_o,7_a,7_o,8_a,8_o,9_a,9_o,10_a,10_o,11_a,11_o,12_a,12_o,13_a,13_o,14_a,14_o,15_a,15_o,16_a,16_o,17_a,17_o,18_a,18_o,19_a,19_o,20_a,20_o,21_a,21_o,22_a,22_o,23_a,23_o,24_a,24_o,25_a,25_o,26_a,26_o,27_a,27_o,28_a,28_o,29_a,29_o,30_a,30_o,31_a,31_o,32_a,32_o,33_a,33_o,34_a,34_o,35_a,35_o,36_a,36_o,37_a,37_o,38_a,38_o,39_a,39_o,40_a,40_o,41_a,41_o,42_a,42_o,43_a,43_o,44_a,44_o,45_a,45_o,label,description_lengths,description_lengths_unnormalized,is_error,L_0,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_11,L_12,L_13,L_14,r_min,r_med,relative_position,pseudo_probability,normalized_entropy,description_length_margin,description_length_true_cost,kullback_leibler_divergence
0,0,0.79691,0.38194,0.79691,0.37731,0.79884,0.37731,0.79497,0.37731,0.77563,0.35417,0.73501,0.32639,0.67505,0.30093,0.59381,0.29398,0.4971,0.32407,0.41586,0.38426,0.34816,0.45833,0.2882,0.57639,0.26499,0.72685,0.26112,0.82639,0.26306,0.81944,0.27079,0.72685,0.2882,0.60648,0.33075,0.50694,0.38685,0.42593,0.45261,0.37037,0.53965,0.3287,0.62089,0.31481,0.68472,0.32176,0.73308,0.34028,0.76402,0.37037,0.77756,0.37963,0.76015,0.36806,0.70793,0.32407,0.62863,0.29861,0.53965,0.30787,0.44487,0.35185,0.3617,0.4213,0.29787,0.53241,0.2824,0.64815,0.294,0.74537,0.31141,0.83565,0.31335,0.87963,0.30561,0.83796,0.29594,0.74074,0.30368,0.62269,0.34043,0.51389,0.39845,0.42593,0.47389,0.36111,0.55899,0.3125,0.6383,0.29398,0,"[0.02301885 0.04641054 0.07511355 0.05782755 0.06931262 0.04935556
 0.05233782 0.08692823 0.06856749 0.04869965 0.11706612 0.0931283
 0.10743322 0.06127331 0.04352718]","[141.24933195 284.78656365 460.91529192 354.84414502 425.31934031
 302.85789754 321.15779736 533.41309583 420.74702748 298.83310874
 718.34664082 571.4582591  659.23678379 375.98819441 267.0935257 ]",0,141.24933195,284.78656365,460.91529192,354.84414502,425.31934031,302.85789754,321.15779736,533.41309583,420.74702748,298.83310874,718.34664082,571.4582591,659.23678379,375.98819441,267.0935257,0.5288384717648406,0.3298567832044747,0.0,0.0,1.0321374986737196e-53,0.9794916675166858,0.02301884716613408,0.5000013393191788
1,0,0.67892,0.27315,0.68085,0.27315,0.68085,0.27315,0.68085,0.27315,0.67892,0.26852,0.66344,0.25694,0.6383,0.24769,0.59961,0.24074,0.54159,0.23843,0.47195,0.25231,0.39652,0.28009,0.33075,0.32407,0.27079,0.39583,0.2147,0.48611,0.18182,0.58796,0.16248,0.66667,0.14894,0.72685,0.14507,0.75694,0.14894,0.74074,0.16054,0.68056,0.18375,0.59491,0.23404,0.49537,0.29014,0.40741,0.3617,0.33565,0.43907,0.28704,0.51644,0.25926,0.59381,0.25,0.66151,0.26852,0.706,0.29398,0.73694,0.31944,0.74275,0.31944,0.72921,0.30324,0.69826,0.27315,0.64603,0.24769,0.57447,0.23148,0.4913,0.2338,0.41586,0.2662,0.34623,0.32639,0.28627,0.40509,0.23404,0.48843,0.19536,0.57407,0.17795,0.63657,0.17215,0.67361,0.17021,0.69213,0.17215,0.69213,14,"[0.04112859 0.04996028 0.07778292 0.04464066 0.05751428 0.04824494
 0.0655941  0.0828184  0.09112774 0.06985307 0.09904619 0.08268774
 0.09587927 0.05891179 0.03481004]","[288.20118914 350.08770068 545.04982553 312.81138336 403.02099252
 338.06777827 459.63887366 580.33507898 638.5612399  489.48284869
 694.04838222 579.41947467 671.85674954 412.81381719 243.92508408]",1,288.20118914,350.08770068,545.04982553,312.81138336,403.02099252,338.06777827,459.63887366,580.33507898,638.5612399,489.48284869,694.04838222,579.41947467,671.85674954,412.81381719,243.92508408,1.0,0.6004978495340596,0.09836439314041154,1.0,9.652606244868561e-19,0.9936814499100765,0.041128587238847956,1.0
2,0,0.72147,0.23611,0.7234,0.23611,0.7234,0.23611,0.7234,0.23611,0.7234,0.23611,0.71567,0.2338,0.67505,0.22685,0.59188,0.22685,0.4971,0.25,0.42747,0.3125,0.36944,0.38194,0.30948,0.49306,0.27853,0.62269,0.26306,0.71528,0.26112,0.76389,0.25919,0.7662,0.27466,0.69676,0.30754,0.55787,0.37718,0.43056,0.46035,0.35185,0.55899,0.30556,0.65377,0.29861,0.73114,0.2963,0.79304,0.30556,0.82012,0.31481,0.80851,0.30787,0.75629,0.28704,0.66538,0.27083,0.54932,0.26157,0.45841,0.31481,0.39458,0.3912,0.33849,0.48843,0.30754,0.59722,0.2882,0.6713,0.28046,0.71759,0.28046,0.73148,0.2882,0.6875,0.31141,0.58102,0.3675,0.46759,0.44101,0.37731,0.52031,0.30556,0.59768,0.25926,0.67118,0.25231,0.73501,0.2662,0.78143,0.27778,0,"[0.02427003 0.04468513 0.07541056 0.06892681 0.0534881  0.04918676
 0.05781823 0.08089325 0.10234292 0.05211811 0.09733746 0.10348202
 0.09896817 0.04809583 0.04297664]","[164.15180238 302.23054003 510.0438348  466.19061292 361.77001231
 332.67758847 391.05704422 547.12635693 692.20247457 352.50395289
 658.34778836 699.90683616 669.37719019 325.29904303 290.67507331]",0,164.15180238,302.23054003,510.0438348,466.19061292,361.77001231,332.67758847,391.05704422,547.12635693,692.20247457,352.50395289,658.34778836,699.90683616,669.37719019,325.29904303,290.67507331,0.5647261064053132,0.34823200991122555,0.0,0.0,5.262109060009583e-54,0.981293391629064,0.02427002920438902,0.500001441669767
3,0,0.5648,0.32407,0.56286,0.32407,0.56093,0.32407,0.55899,0.32407,0.55899,0.32407,0.55126,0.31019,0.52224,0.28472,0.46615,0.26852,0.39072,0.28241,0.31141,0.32176,0.24371,0.38657,0.17795,0.44676,0.12186,0.55787,0.10251,0.67824,0.098646,0.75694,0.096712,0.75,0.092843,0.6875,0.10832,0.59722,0.13926,0.50694,0.17988,0.42361,0.23598,0.36111,0.30754,0.30556,0.39845,0.25926,0.48936,0.23843,0.56867,0.25231,0.62282,0.28472,0.6499,0.29861,0.64797,0.28935,0.62089,0.2662,0.56286,0.25231,0.47969,0.25231,0.38491,0.28241,0.30368,0.33565,0.24565,0.40046,0.20503,0.45139,0.17602,0.50694,0.15667,0.5787,0.1412,0.63194,0.13926,0.62037,0.16054,0.55556,0.20503,0.49074,0.26306,0.42361,0.33269,0.34722,0.41006,0.28009,0.4913,0.24306,0,"[0.02761297 0.04883896 0.07934725 0.04807334 0.05283269 0.04663848
 0.05721044 0.08916263 0.09035486 0.05292857 0.10327763 0.09521451
 0.10898987 0.06472337 0.03479443]","[187.20829579 331.11465419 537.95237592 325.92392739 358.19098802
 316.19601288 387.87094245 604.49794898 612.58091289 358.84107031
 700.19371904 645.52800555 738.92111493 438.80653252 235.89662465]",0,187.20829579,331.11465419,537.95237592,325.92392739,358.19098802,316.19601288,387.87094245,604.49794898,612.58091289,358.84107031,700.19371904,645.52800555,738.92111493,438.80653252,235.89662465,0.7936031135119779,0.3975593849617097,0.0,0.0,1.2873469262336006e-20,0.9928185372826224,0.02761297066624528,0.500001322761247
4,0,0.67118,0.38426,0.67118,0.38657,0.67311,0.38657,0.67311,0.38426,0.67311,0.37963,0.65957,0.36574,0.61702,0.3588,0.55706,0.38889,0.49323,0.4537,0.46615,0.52315,0.46228,0.62037,0.47389,0.71759,0.54545,1.0,0.47969,0.80556,0.44874,0.7037,0.45068,0.59259,0.46809,0.48611,0.51064,0.38426,0.56673,0.2963,0.64603,0.24306,0.74662,0.25926,0.83559,0.34259,0.87621,0.44676,0.87234,0.48148,0.86267,0.44907,0.84913,0.38657,0.82785,0.32407,0.7795,0.25926,0.69826,0.23611,0.60348,0.2662,0.52805,0.32639,0.47776,0.40046,0.44874,0.46528,0.43907,0.53009,0.4294,0.62269,0.44487,0.75231,0.45648,0.84028,0.51257,0.9838,0.5087,0.96991,0.47195,0.81713,0.46422,0.76389,0.44101,0.6412,0.45068,0.54167,0.47776,0.44213,0.53191,0.34259,0,"[0.0345004  0.0516052  0.07863187 0.06079677 0.04454121 0.052154
 0.05671929 0.07678356 0.06393391 0.06350433 0.12288908 0.07604212
 0.10072947 0.06679881 0.05036996]","[226.9020709  339.39678449 517.14566622 399.8478663  292.93836219
 343.00612658 373.03113042 504.98971772 420.48020235 417.65493826
 808.21626169 500.11342097 662.47705195 439.3220384  331.27289784]",0,226.9020709,339.39678449,517.14566622,399.8478663,292.93836219,343.00612658,373.03113042,504.98971772,420.48020235,417.65493826,808.21626169,500.11342097,662.47705195,439.3220384,331.27289784,0.7745727435727814,0.5002650060472947,0.0,0.0,5.104216074850098e-28,0.9899591980674309,0.03450040436086164,0.5000010348226868
5,0,0.83366,0.3588,0.83752,0.37731,0.82979,0.38426,0.83172,0.37731,0.83172,0.41667,0.80077,0.50231,0.73114,0.57639,0.63636,0.63426,0.54545,0.66667,0.47195,0.65278,0.42553,0.61111,0.41006,0.55093,0.41393,0.47685,0.42747,0.40046,0.44681,0.34028,0.46035,0.32639,0.45841,0.36806,0.46422,0.43519,0.49323,0.49769,0.53965,0.5463,0.61315,0.57176,0.70406,0.56944,0.78723,0.54398,0.84139,0.48611,0.8646,0.39815,0.8646,0.31713,0.86654,0.26852,0.87234,0.30093,0.87041,0.38426,0.8472,0.46759,0.78917,0.52546,0.706,0.57407,0.60542,0.61343,0.5029,0.61574,0.43714,0.55324,0.41586,0.45833,0.42553,0.37037,0.44681,0.32176,0.45455,0.35185,0.46035,0.43519,0.4913,0.51157,0.55706,0.56019,0.64603,0.5787,0.74662,0.56713,0.83752,0.52546,1,"[0.05242123 0.03267026 0.07465922 0.07423765 0.06097006 0.05065337
 0.05062296 0.08156853 0.04794661 0.06296587 0.11509514 0.08934847
 0.09360232 0.05468389 0.05855444]","[273.85717669 170.67484182 390.03215971 387.82977523 318.51773286
 264.62159878 264.46272222 426.12751463 250.48104891 328.94414224
 601.27612476 466.77122482 488.99402436 285.67770359 305.89811578]",1,273.85717669,170.67484182,390.03215971,387.82977523,318.51773286,264.62159878,264.46272222,426.12751463,250.48104891,328.94414224,601.27612476,466.77122482,488.99402436,285.67770359,305.89811578,1.0,0.7744972451190455,0.2396238445117169,1.0,6.45632524871525e-34,0.9847236461245965,0.05242122505230006,1.0
6,0,0.71567,0.68056,0.71373,0.68056,0.70986,0.68981,0.7118,0.68287,0.71567,0.65741,0.71373,0.65509,0.69439,0.58102,0.6499,0.52083,0.60348,0.49769,0.53965,0.50926,0.45648,0.52083,0.36557,0.54167,0.32302,0.63889,0.25532,0.72917,0.21857,0.80324,0.21083,0.8125,0.22437,0.76389,0.24758,0.65046,0.30948,0.59259,0.34816,0.54861,0.44294,0.5,0.54932,0.48843,0.62476,0.46065,0.68859,0.49306,0.73501,0.56481,0.76983,0.61574,0.78723,0.63426,0.77756,0.61111,0.73888,0.55556,0.67311,0.45833,0.59574,0.47222,0.51064,0.49306,0.40426,0.51852,0.33849,0.57407,0.29594,0.59259,0.26306,0.68519,0.23598,0.75231,0.22437,0.7662,0.23017,0.74306,0.24758,0.67824,0.30174,0.61111,0.35397,0.57639,0.41006,0.52315,0.4913,0.48611,0.55899,0.4838,0,"[0.03190346 0.04254146 0.04762827 0.1109511  0.1107695  0.05520153
 0.04761979 0.05694701 0.07093507 0.0495045  0.07948298 0.06857935
 0.11024814 0.06778194 0.0499059 ]","[140.10203659 186.81813342 209.15651507 487.23473179 486.43721655
 242.41400934 209.11930282 250.07918406 311.50684417 217.39587632
 349.04444151 301.16187475 484.14771394 297.66006963 219.15858532]",0,140.10203659,186.81813342,209.15651507,487.23473179,486.43721655,242.41400934,209.11930282,250.07918406,311.50684417,217.39587632,349.04444151,301.16187475,484.14771394,297.66006963,219.15858532,0.7499381030334784,0.46136772179604607,0.0,0.0,8.877011241289078e-20,0.9893620011459392,0.031903463812903564,0.500000716218825
7,0,0.77563,0.60417,0.77563,0.60417,0.7795,0.59722,0.75629,0.53935,0.70793,0.44444,0.64217,0.39815,0.54352,0.43519,0.4294,0.4838,0.37524,0.53935,0.32882,0.6088,0.31721,0.73148,0.31335,0.75694,0.31335,0.75,0.31141,0.64352,0.34816,0.56713,0.37718,0.51852,0.44101,0.48148,0.52998,0.45833,0.61122,0.45602,0.65957,0.43981,0.70019,0.49537,0.72921,0.53009,0.73308,0.64352,0.74662,0.64583,0.74468,0.60185,0.73308,0.50231,0.70213,0.48148,0.6499,0.44676,0.58607,0.44213,0.5087,0.43056,0.43133,0.4537,0.35977,0.49306,0.33075,0.54861,0.30368,0.60185,0.28627,0.69907,0.29207,0.78704,0.28433,0.74306,0.29207,0.62963,0.32689,0.56481,0.3675,0.51852,0.45648,0.45833,0.54545,0.4537,0.61509,0.47685,0.66344,0.46759,0.7118,0.53472,1,"[0.03609037 0.03409442 0.05863668 0.10358413 0.09485609 0.06137191
 0.04418194 0.07242134 0.05253355 0.04411262 0.09870477 0.08356048
 0.10016919 0.05592939 0.05975313]","[151.68023008 143.29165762 246.4376246  435.34230698 398.66019955
 257.93324624 185.68738465 304.3716493  220.78744281 185.39605463
 414.83538906 351.18712783 420.99001709 235.05947435 251.12983355]",1,151.68023008,143.29165762,246.4376246,435.34230698,398.66019955,257.93324624,185.68738465,304.3716493,220.78744281,185.39605463,414.83538906,351.18712783,420.99001709,235.05947435,251.12983355,1.0,0.524183132843292,0.0287230056784808,0.9997725999793594,0.0007883854697669773,0.9980040465543474,0.03609036928621388,0.9999944543009813
8,0,0.77756,0.63426,0.77563,0.63426,0.77369,0.61806,0.75822,0.50694,0.71373,0.40509,0.65184,0.38426,0.56286,0.36574,0.46228,0.39352,0.38878,0.43519,0.34623,0.4838,0.32882,0.53472,0.31141,0.57176,0.29207,0.61806,0.29594,0.7338,0.29014,0.72454,0.29981,0.58796,0.34236,0.51852,0.42166,0.45139,0.51451,0.41667,0.58994,0.43287,0.64797,0.44444,0.69246,0.45602,0.74662,0.51852,0.80464,0.56713,0.84139,0.61574,0.84526,0.60648,0.81625,0.55556,0.75242,0.46991,0.66731,0.40972,0.58027,0.43056,0.49323,0.4213,0.40619,0.44676,0.33849,0.51157,0.29594,0.55787,0.23017,0.59954,0.17795,0.68519,0.16248,0.71759,0.17408,0.7037,0.23598,0.58102,0.32108,0.52778,0.38298,0.46991,0.46422,0.4375,0.55899,0.44213,0.6325,0.46296,0.68085,0.4838,0,"[0.02800577 0.03305935 0.07716018 0.08527187 0.08605827 0.058163
 0.04452173 0.08314862 0.05577856 0.05390776 0.10331342 0.07060545
 0.1049813  0.05429276 0.06173194]","[123.60252815 145.90632542 340.54386407 376.3445368  379.81529192
 256.70043721 196.49517293 366.97363507 246.17678651 237.92008211
 455.97031018 311.61477241 463.33142795 239.61928761 272.45185731]",0,123.60252815,145.90632542,340.54386407,376.3445368,379.81529192,256.70043721,196.49517293,366.97363507,246.17678651,237.92008211,455.97031018,311.61477241,463.33142795,239.61928761,272.45185731,0.8471361868195616,0.40337770144044527,0.0,2.0586576887637875e-10,1.7715519888373843e-09,0.9949464217748969,0.02800577127136592,0.500000813502734
9,0,0.74468,0.58565,0.74468,0.59028,0.74662,0.58333,0.73501,0.55787,0.7118,0.47222,0.65764,0.43287,0.59188,0.45139,0.5029,0.45139,0.41199,0.47685,0.36557,0.53704,0.31528,0.5625,0.27466,0.67593,0.24952,0.71759,0.25145,0.71991,0.26112,0.6713,0.30561,0.59028,0.3559,0.50694,0.45455,0.46296,0.53191,0.47222,0.60542,0.47454,0.65764,0.46991,0.70793,0.55324,0.73888,0.62037,0.74855,0.64583,0.74662,0.64352,0.73308,0.59722,0.69439,0.49769,0.62863,0.4537,0.52998,0.43519,0.41973,0.44676,0.32108,0.46296,0.24371,0.52546,0.2089,0.63889,0.17988,0.7338,0.16634,0.79167,0.16828,0.78704,0.18762,0.73611,0.21857,0.625,0.27273,0.52778,0.36557,0.46528,0.47002,0.45833,0.56286,0.45602,0.62282,0.4537,0.66538,0.48148,0.71567,0.53935,0,"[0.03103927 0.03807686 0.05304166 0.08174544 0.08602713 0.05270278
 0.04498568 0.0995192  0.06673054 0.04501375 0.09697209 0.06898481
 0.12648347 0.05368492 0.05499241]","[142.18420556 174.42188226 242.97244485 374.45827534 394.07175479
 241.42006484 206.06969175 455.87601436 305.67825101 206.19827344
 444.20825435 316.00456903 579.3935361  245.91905283 251.90838995]",0,142.18420556,174.42188226,242.97244485,374.45827534,394.07175479,241.42006484,206.06969175,455.87601436,305.67825101,206.19827344,444.20825435,316.00456903,579.3935361,245.91905283,251.90838995,0.8151741267603085,0.448469939581117,0.0,9.992007221626409e-15,1.225569125864142e-13,0.9929624116631679,0.031039268618597515,0.5000007732469725
