index,true_label,b,g,r,label,description_lengths,description_lengths_unnormalized,is_error,L_0,L_1,r_min,r_med,relative_position,pseudo_probability,normalized_entropy,description_length_margin,description_length_true_cost,kullback_leibler_divergence
117,0,255,217,206,0,[0.47139406 0.52860594],[10.46792559 11.7383908 ],0,10.46792559,11.7383908,0.8917683665045666,0.8917683665045666,0.0,0.2191776262083408,0.7586630263613363,0.9427881154339084,0.47139405769443815,0.5882979605539617
1398,0,252,209,200,0,[0.43930337 0.56069663],[ 8.50338203 10.85313252],0,8.50338203,10.85313252,0.7834956417925046,0.7834956417925046,0.0,0.08708560686685218,0.42666640297485287,0.878606735535525,0.4393033677419314,0.5328148853231364
11648,0,158,105,101,1,[0.61738198 0.38261802],[10.94171571  6.78104921],1,10.94171571,6.78104921,1.0,1.0,0.9999999997596539,0.9846423763486889,0.11451352010794051,0.7652360385895568,0.6173819806770093,0.9975880410652928
16962,0,255,187,150,0,[0.39068937 0.60931063],[ 6.41931527 10.01142416],0,6.41931527,10.01142416,0.6411990109266134,0.6411990109266134,0.0,0.026802056190327606,0.17809159228942884,0.7813787440860549,0.3906893720125966,0.5097974449202821
18563,0,255,193,152,0,[0.4078936 0.5921064],[ 7.41350345 10.76158782],0,7.41350345,10.76158782,0.6888856526853222,0.6888856526853222,0.0,0.03395794996063983,0.21386799393462072,0.8157872045824512,0.40789360226371535,0.5124579410910249
18572,0,253,195,157,0,[0.35211421 0.64788579],[ 5.75760426 10.59392059],0,5.75760426,10.59392059,0.5434819159293433,0.5434819159293433,0.0,0.007873746839194173,0.06634209894305985,0.7042284206476176,0.3521142102932306,0.5028510560688584
20467,0,154,94,40,1,[0.64188392 0.35811608],[14.62308022  8.1584223 ],1,14.62308022,8.1584223,1.0,1.0,0.9999999998453127,0.9984448981425041,0.016748988002694427,0.7162321530794171,0.6418839234383438,0.999911176916516
20542,0,247,193,149,0,[0.3274062 0.6725938],[4.77327358 9.80578336],0,4.77327358,9.80578336,0.4867814639862917,0.4867814639862917,0.0,0.006480153884894979,0.056427668019762865,0.6548123928477632,0.3274061963895858,0.5023448039114269
24237,0,234,186,148,0,[0.33522941 0.66477059],[4.83904516 9.59598067],0,4.83904516,9.59598067,0.5042783354726914,0.5042783354726914,0.0,0.008518707013920435,0.07080478693149224,0.6704588155440483,0.33522940773738613,0.5030855903536136
27381,0,193,126,58,0,[0.47571509 0.52428491],[7.44014487 8.19977279],0,7.44014487,8.19977279,0.9073598817477282,0.9073598817477282,0.0,0.3187270542565773,0.902991800223171,0.9514301841950087,0.47571509206553486,0.6349924679219902
27680,0,217,165,125,0,[0.33921489 0.66078511],[4.41906898 8.60827472],0,4.41906898,8.60827472,0.5133512954947432,0.5133512954947432,0.0,0.014931976072388276,0.1119498172109565,0.6784297830663337,0.33921489149478606,0.5054259660384706
28171,0,183,118,62,0,[0.47998316 0.52001684],[7.24807803 7.85261428],0,7.24807803,7.85261428,0.9230146509981113,0.9230146509981113,0.0,0.35330655831196933,0.9369864744541032,0.9599663222354627,0.4799831610846203,0.6522277693975483
29043,0,191,127,63,0,[0.42145265 0.57854735],[5.82273868 7.99314006],0,5.82273868,7.99314006,0.7284669898892692,0.7284669898892692,0.0,0.10244012221146481,0.4766832156253,0.8429052960953458,0.42145264801148274,0.5389011912696362
29650,0,237,181,144,0,[0.3588281 0.6411719],[5.08244451 9.08156451],0,5.08244451,9.08156451,0.5596441564494657,0.5596441564494657,0.0,0.01800175973833751,0.130068999004371,0.7176562091939662,0.35882810456168235,0.5065515325365689
32950,0,213,162,145,0,[0.30705112 0.69294888],[3.64561159 8.2273677 ],0,3.64561159,8.2273677,0.44310789580449794,0.44310789580449794,0.0,0.010133171080645043,0.08167468784158369,0.6141022402462135,0.30705112008099433,0.5036733398938469
34913,0,223,153,101,0,[0.29698938 0.70301062],[3.56710244 8.44377296],0,3.56710244,8.44377296,0.4224536183618024,0.4224536183618024,0.0,0.007564689574958483,0.06417676765385452,0.5939787603163398,0.29698938011654097,0.5027387236013388
38030,0,230,184,171,0,[0.35856461 0.64143539],[5.14810582 9.20943444],0,5.14810582,9.20943444,0.5590034711665742,0.5590034711665742,0.0,0.016934402935782522,0.12386345525087183,0.7171292194783558,0.358564609704353,0.506159784056807
42596,0,206,138,99,0,[0.38943132 0.61056868],[5.1654585  8.09864787],0,5.1654585,8.09864787,0.6378173964689469,0.6378173964689469,0.0,0.050537069591756745,0.2886740239187944,0.7788626472105966,0.38943132356760257,0.518695378461649
45564,0,212,150,109,0,[0.28130539 0.71869461],[3.14667159 8.03929101],0,3.14667159,8.03929101,0.3914115791671769,0.3914115791671769,0.0,0.007445889317551413,0.06333957951396257,0.5626107833077674,0.2813053916091848,0.5026955527269245
