index,true_label,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,label,description_lengths,description_lengths_unnormalized
0,2,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,1,[0.13974061 0.12334336 0.14663552 0.15977824 0.20947588 0.22102639],[19.95012279 17.60916233 20.93447682 22.81080328 29.90590627 31.55491865]
1,2,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,2,[0.25274541 0.12252155 0.12036781 0.13894316 0.17617399 0.18924809],[45.21414959 21.91813331 21.53284637 24.85582922 31.5161307  33.85498274]
2,2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,1,[0.15539392 0.1344969  0.14268832 0.15552253 0.18922545 0.22267289],[21.25737316 18.39872954 19.51928886 21.27496599 25.88541444 30.46091344]
3,3,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,5,[0.23682821 0.17570651 0.15066497 0.14627087 0.14704864 0.1434808 ],[39.11417949 29.01941352 24.88359209 24.15786875 24.2863245  23.6970664 ]
4,2,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,1,[0.14563535 0.12252978 0.1420708  0.15569103 0.19204742 0.24202563],[21.3069885  17.92655833 20.78548255 22.77817256 28.09724571 35.40924203]
5,2,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,1,[0.16853915 0.12212833 0.14299839 0.15173889 0.20780745 0.20678778],[24.74932161 17.93407242 20.99875928 22.28226812 30.5157186  30.36598488]
6,2,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,1,[0.20673673 0.12010141 0.12124905 0.12950083 0.17462145 0.24779053],[33.17828779 19.27455825 19.45873796 20.78303027 28.02424482 39.76683603]
7,4,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,1,[0.164086   0.13134564 0.1541714  0.15321762 0.19617704 0.2010023 ],[24.38126665 19.51643044 22.90807134 22.76635165 29.1496196  29.86659782]
8,4,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,1,[0.14757435 0.13087393 0.1540833  0.15713909 0.19751935 0.21280997],[18.91336639 16.77301276 19.74756385 20.13919894 25.31439796 27.2740681 ]
9,2,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,2,[0.35022847 0.14852373 0.10923626 0.12439542 0.13332845 0.13428768],[75.93958886 32.20420897 23.68555715 26.97249887 28.90943682 29.11742491]
10,2,6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,1,[0.23299505 0.11885231 0.12259351 0.13160934 0.16894787 0.22500192],[37.18050314 18.96602056 19.56302727 21.00173991 26.96008784 35.90498859]
11,2,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,2,[0.35022847 0.14852373 0.10923626 0.12439542 0.13332845 0.13428768],[75.93958886 32.20420897 23.68555715 26.97249887 28.90943682 29.11742491]
