index,true_label,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,label,description_lengths,description_lengths_unnormalized,is_error,L_0,L_1,L_2,L_3,L_4,L_5,r_min,r_med,relative_position,pseudo_probability,normalized_entropy,description_length_margin,description_length_true_cost,kullback_leibler_divergence
0,2,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,1,[0.13974061 0.12334336 0.14663552 0.15977824 0.20947588 0.22102639],[19.95012279 17.60916233 20.93447682 22.81080328 29.90590627 31.55491865],1,19.95012279,17.60916233,20.93447682,22.81080328,29.90590627,31.55491865,1.0,0.8591611212892465,0.23844633546282656,0.9683915685485665,0.2552685367608479,0.9836027453314281,0.14663551718889567,0.9931968734584473
1,2,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,2,[0.25274541 0.12252155 0.12036781 0.13894316 0.17617399 0.18924809],[45.21414959 21.91813331 21.53284637 24.85582922 31.5161307  33.85498274],0,45.21414959,21.91813331,21.53284637,24.85582922,31.5161307,33.85498274,0.98242154404606,0.6841939610685703,0.0,0.41736865533594913,0.425833446221957,0.9978462603968911,0.12036780689926482,0.6855388627831931
2,2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,1,[0.15539392 0.1344969  0.14268832 0.15552253 0.18922545 0.22267289],[21.25737316 18.39872954 19.51928886 21.27496599 25.88541444 30.46091344],1,21.25737316,18.39872954,19.51928886,21.27496599,25.88541444,30.46091344,1.0,0.8321846080338776,0.0928985438455386,0.7735995625860308,0.4732105839036267,0.9918085784281286,0.14268831732655898,0.8950176521711984
3,3,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,5,[0.23682821 0.17570651 0.15066497 0.14627087 0.14704864 0.1434808 ],[39.11417949 29.01941352 24.88359209 24.15786875 24.2863245  23.6970664 ],1,39.11417949,29.01941352,24.88359209,24.15786875,24.2863245,23.6970664,1.0,0.8566585128398105,0.029889016658313238,0.747252071340563,0.7353433817044704,0.9972099377013708,0.14627086605484474,0.8791312224411392
4,2,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,1,[0.14563535 0.12252978 0.1420708  0.15569103 0.19204742 0.24202563],[21.3069885  17.92655833 20.78548255 22.77817256 28.09724571 35.40924203],1,21.3069885,17.92655833,20.78548255,22.77817256,28.09724571,35.40924203,1.0,0.8279867528558769,0.16352891060063465,0.9478443399986327,0.21387898460539828,0.9804589738903128,0.14207080214668946,0.9860885270085674
5,2,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,1,[0.16853915 0.12212833 0.14299839 0.15173889 0.20780745 0.20678778],[24.74932161 17.93407242 20.99875928 22.28226812 30.5157186  30.36598488],1,24.74932161,17.93407242,20.99875928,22.28226812,30.5157186,30.36598488,1.0,0.834294749597839,0.2435839329696059,0.9560023334204211,0.1417106873411865,0.9791299439337781,0.1429983889103431,0.9890826977313391
6,2,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,1,[0.20673673 0.12010141 0.12124905 0.12950083 0.17462145 0.24779053],[33.17828779 19.27455825 19.45873796 20.78303027 28.02424482 39.76683603],1,33.17828779,19.27455825,19.45873796,20.78303027,28.02424482,39.76683603,1.0,0.6898942709667022,0.008987761729970773,0.5948816796780493,0.5342471695870017,0.9988523605804173,0.12124904930205067,0.7864376594771184
7,4,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,1,[0.164086   0.13134564 0.1541714  0.15321762 0.19617704 0.2010023 ],[24.38126665 19.51643044 22.90807134 22.76635165 29.1496196  29.86659782],1,24.38126665,19.51643044,22.90807134,22.76635165,29.1496196,29.86659782,1.0,1.0,0.9307278622067341,0.9999393489477797,0.18704220228819765,0.9781280195696508,0.1961770357636838,0.9999991760108127
8,4,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,1,[0.14757435 0.13087393 0.1540833  0.15713909 0.19751935 0.21280997],[18.91336639 16.77301276 19.74756385 20.13919894 25.31439796 27.2740681 ],1,18.91336639,16.77301276,19.74756385,20.13919894,25.31439796,27.2740681,1.0,1.0,0.8133835050512758,0.9998377802770441,0.3453440295930393,0.9832995725991258,0.19751935353216296,0.9999965932996
9,2,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,2,[0.35022847 0.14852373 0.10923626 0.12439542 0.13332845 0.13428768],[75.93958886 32.20420897 23.68555715 26.97249887 28.90943682 29.11742491],0,75.93958886,32.20420897,23.68555715,26.97249887,28.90943682,29.11742491,0.8781372932215036,0.6131606561143373,0.0,0.04519016869817272,0.11982612043244432,0.9848408375652988,0.1092362563073518,0.5166724727359425
10,2,6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,1,[0.23299505 0.11885231 0.12259351 0.13160934 0.16894787 0.22500192],[37.18050314 18.96602056 19.56302727 21.00173991 26.96008784 35.90498859],1,37.18050314,18.96602056,19.56302727,21.00173991,26.96008784,35.90498859,1.0,0.6986129772960378,0.03277648472006292,0.6726162064525881,0.4882225536053665,0.9962588024777097,0.12259351180662871,0.833542558828045
11,2,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,2,[0.35022847 0.14852373 0.10923626 0.12439542 0.13332845 0.13428768],[75.93958886 32.20420897 23.68555715 26.97249887 28.90943682 29.11742491],0,75.93958886,32.20420897,23.68555715,26.97249887,28.90943682,29.11742491,0.8781372932215036,0.6131606561143373,0.0,0.04519016869817272,0.11982612043244432,0.9848408375652988,0.1092362563073518,0.5166724727359425
12,2,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,1,[0.16605412 0.12354196 0.14829916 0.15052112 0.18718894 0.2243947 ],[28.01172646 20.84033467 25.01663598 25.39145896 31.5769663  37.85321876],1,28.01172646,20.84033467,25.01663598,25.39145896,31.5769663,37.85321876,1.0,0.8706059314406633,0.24547873762387584,0.9850441331660373,0.07880185102134717,0.9752427952780248,0.14829916053446598,0.9976783308657655
13,2,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,1,[0.187254   0.11457606 0.13829283 0.1491078  0.19083639 0.21993291],[56.10602537 34.32988154 41.43602365 44.67646177 57.17939922 65.89745352],1,56.10602537,34.32988154,41.43602365,44.67646177,57.17939922,65.89745352,1.0,0.8024351950345947,0.22510892235478455,0.9991806456472513,0.003910189145145679,0.9762832330489505,0.13829283190133465,0.9999647575775849
14,2,8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,2,[0.18195103 0.15325922 0.09497977 0.12499415 0.18430475 0.26051109],[69.41320601 58.4674563  36.23420339 47.68450534 70.31113649 99.38339086],0,69.41320601,58.4674563,36.23420339,47.68450534,70.31113649,99.38339086,0.7598737395068493,0.5247383913357634,0.0,1.0646367052280503e-05,7.397919506402382e-05,0.9699856223171769,0.09497977174162536,0.5000038598930985
15,2,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,2,[0.18457935 0.15318204 0.09169103 0.12342253 0.17834054 0.26878451],"[ 70.19462562  58.25438098  34.86965182  46.93698592  67.82203755
 102.2174391 ]",0,70.19462562,58.25438098,34.86965182,46.93698592,67.82203755,102.2174391,0.7429035149101688,0.5047348115829623,0.0,5.744155333942125e-06,4.189267879519275e-05,0.9682685013981929,0.09169103124208955,0.5000020943000546
16,4,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,2,[0.3011454  0.16010476 0.12461521 0.13458476 0.1456432  0.13390666],[60.77362076 32.31045943 25.14837598 27.16031232 29.39199607 27.02346711],1,60.77362076,32.31045943,25.14837598,27.16031232,29.39199607,27.02346711,1.0,0.8523558111237306,0.11911834195349161,0.9889759533748619,0.4144085171999587,0.9907085498224033,0.14564319714131688,0.9985036099213855
17,2,8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,2,[0.17055483 0.15376907 0.10213804 0.16418491 0.17492552 0.23442764],[64.39291194 58.05545477 38.56217941 61.98795278 66.0430652  88.50806954],0,64.39291194,58.05545477,38.56217941,61.98795278,66.0430652,88.50806954,0.6642300807410552,0.5687847577873356,0.0,3.4954474870119157e-09,4.015294776497677e-08,0.9483689729161927,0.10213803954228586,0.5000000148077048
18,1,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,0,[0.13086468 0.13870508 0.13218686 0.14717904 0.19262941 0.25843493],[20.34297103 21.56176492 20.54850425 22.87904594 29.94432573 40.17382132],1,20.34297103,21.56176492,20.54850425,22.87904594,29.94432573,40.17382132,1.0,0.8052124648709372,0.061459487218918495,0.864970050603693,0.6231369705314131,0.9986778215037364,0.13870508095340803,0.9472824328578089
19,3,7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,3,[0.19794072 0.2066613  0.12322198 0.12166038 0.14696148 0.20355413],[58.6716538  61.25652368 36.52425385 36.0613822  43.56088528 60.33552715],0,58.6716538,61.25652368,36.52425385,36.0613822,43.56088528,60.33552715,0.9873270059701075,0.6925589082421711,0.0,0.3865131466241868,0.37387340312850587,0.9984384086328354,0.12166038497182197,0.6692723002059872
20,3,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,3,[0.20122012 0.15277428 0.1380714  0.13801667 0.15408404 0.21583349],[33.81297822 25.67215076 23.20148242 23.19228646 25.8922431  36.26860487],0,33.81297822,25.67215076,23.20148242,23.19228646,25.8922431,36.26860487,0.9996036476965937,0.8005762255020566,0.0,0.5331107820191712,0.5289470077566779,0.9999452750898038,0.13801667186122038,0.7500441384339966
21,2,7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,2,[0.34012005 0.13183736 0.11515234 0.11885798 0.14171389 0.15231837],[60.22074747 23.34277025 20.38856534 21.04467647 25.09148327 26.96908394],0,60.22074747,23.34277025,20.38856534,21.04467647,25.09148327,26.96908394,0.9688229404759853,0.6506901936657971,0.0,0.367665395155518,0.4485579088799331,0.9962943576406766,0.11515233916201875,0.6595388470132423
22,2,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,3,[0.19795789 0.1637221  0.14605568 0.14030891 0.15575187 0.19620355],[28.9746417  23.96362751 21.3778349  20.53669263 22.79704373 28.71786239],1,28.9746417,23.96362751,21.3778349,20.53669263,22.79704373,28.71786239,1.0,0.8551827139295114,0.09968563011252134,0.7250788940453416,0.505258975304129,0.9942532249016793,0.14605568361144358,0.8656358062639341
23,2,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,2,[0.27344788 0.13178259 0.11763056 0.13058821 0.1563277  0.19022304],[43.41093465 20.92100894 18.67431789 20.73139573 24.81764224 30.1986618 ],0,43.41093465,20.92100894,18.67431789,20.73139573,24.81764224,30.1986618,0.900774754016006,0.6665607307887367,0.0,0.19076381631206418,0.3502058223457067,0.987042352683423,0.11763056331221071,0.5757540405443694
24,3,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,2,[0.20277641 0.14521699 0.1446123  0.14469211 0.16221854 0.20048365],[26.36070224 18.87804283 18.79943325 18.80980884 21.08822552 26.06264506],1,26.36070224,18.87804283,18.79943325,18.80980884,21.08822552,26.06264506,1.0,0.845848085995911,0.0013722022073740137,0.6719323257932939,0.6761889748131644,0.9999201870679458,0.14469210858356354,0.8331244236836259
25,2,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,1,[0.16372162 0.14783114 0.1591174  0.15914295 0.17339246 0.19679443],[22.61323114 20.41843721 21.97729628 21.98082558 23.94896694 27.18124759],1,22.61323114,20.41843721,21.97729628,21.98082558,23.94896694,27.18124759,1.0,0.9461332773474511,0.23050462487896867,0.8653022858596848,0.610171734832718,0.9887137343144236,0.1591174017204199,0.9474596338061718
26,2,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,1,[0.15758358 0.15724231 0.16065137 0.16373369 0.17287994 0.18790911],[19.79094648 19.7480874  20.17623118 20.5633398  21.71201966 23.59953563],1,19.79094648,19.7480874,20.17623118,20.5633398,21.71201966,23.59953563,1.0,0.9570002454222629,0.1111643606043836,0.7972156570355788,0.8318773822212827,0.999658738551265,0.16065136914979358,0.9090410278516563
27,2,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,3,[0.21393445 0.16257532 0.13857691 0.13782294 0.15007728 0.1970131 ],[32.32914754 24.56790623 20.94133667 20.82739865 22.67923893 29.77204246],1,32.32914754,24.56790623,20.94133667,20.82739865,22.67923893,29.77204246,1.0,0.8043487083299603,0.009906147411125832,0.569584509755168,0.5367668241895609,0.9992460281314524,0.13857690996354355,0.771393771621299
28,2,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,1,[0.14219349 0.12326437 0.13092172 0.14876359 0.20226159 0.25259522],[21.20837222 18.38506602 19.52717129 22.18831256 30.16761957 37.6749557 ],1,21.20837222,18.38506602,19.52717129,22.18831256,30.16761957,37.6749557,1.0,0.7532217092763002,0.05920745472821133,0.7721784640090448,0.43399793878376286,0.9923426496534883,0.13092172479326342,0.8941664013709696
29,3,7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,1,[0.14687717 0.1320269  0.14877204 0.16450509 0.19626488 0.21155392],[19.53820395 17.56275974 19.7902663  21.88314196 26.10795927 28.14176985],1,19.53820395,17.56275974,19.7902663,21.88314196,26.10795927,28.14176985,1.0,0.9844769261599151,0.40839191707621947,0.989448665145289,0.38300931315001946,0.9851497270487426,0.1645050918127997,0.9985951662778603
30,2,6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,1,[0.30696018 0.1118108  0.11270922 0.12612458 0.16344819 0.17894703],[53.72627401 19.5698923  19.72714091 22.07518792 28.60782313 31.32053494],1,53.72627401,19.5698923,19.72714091,22.07518792,28.60782313,31.32053494,1.0,0.63513127671663,0.004603784186817373,0.558691863444147,0.4668080952020191,0.9991015743749307,0.11270922460234346,0.7649732759707475
31,3,6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,1,[0.16695765 0.12335624 0.13350061 0.13715985 0.1741914  0.26483425],[25.74746364 19.02344925 20.58786925 21.15218013 26.8630211  40.84155691],1,25.74746364,19.02344925,20.58786925,21.15218013,26.8630211,40.84155691,1.0,0.7948160975854174,0.09756716361818682,0.9105212599960192,0.4074316888978789,0.9898556267601214,0.1371598484268063,0.9701802551479581
32,2,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,2,[0.29533943 0.12384519 0.1026821  0.12808123 0.17012233 0.17992973],[56.49828515 23.69152307 19.64303516 24.501875   32.54431627 34.42046747],0,56.49828515,23.69152307,19.64303516,24.501875,32.54431627,34.42046747,0.8291166043285914,0.5721612330517418,0.0,0.024591127395401702,0.07289719945565493,0.9788369135041488,0.10268210289212079,0.5089792716463685
