index,true_label,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,label,description_lengths,description_lengths_unnormalized
0,3,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,2,"[0.09947684 0.11104953 0.07933545 0.08533472 0.10702652 0.10895683
 0.40882011]","[ 34.88396585  38.94221122  27.82090042  29.92469149  37.53144464
  38.20835671 143.36269143]"
1,3,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,4,"[0.08761072 0.08601385 0.07888766 0.07854982 0.07746233 0.08215941
 0.50931621]","[ 22.90046156  22.48305821  20.62035225  20.53204274  20.24778518
  21.47554918 133.12955428]"
2,3,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,3,"[0.14049589 0.11187331 0.10515114 0.10450673 0.10748422 0.11351776
 0.31697094]","[27.36521601 21.79022723 20.48091001 20.35539383 20.93533762 22.11052596
 61.73830602]"
3,3,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,2,"[0.11930056 0.10220058 0.08488542 0.0906949  0.10626333 0.11274567
 0.38390953]","[26.40818563 22.62296185 18.79010389 20.07608215 23.52228454 24.95720538
 84.98161502]"
4,3,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,2,"[0.12675436 0.10748154 0.08474382 0.08972978 0.10498801 0.10659224
 0.37971024]","[28.38879761 24.07232162 18.97982238 20.09651377 23.51385443 23.87314903
 85.0425784 ]"
5,3,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,3,"[0.13141506 0.11102589 0.10558668 0.10467217 0.10890847 0.12014096
 0.31825077]","[25.49402785 21.53860552 20.48341983 20.3060077  21.12783354 23.30689582
 61.73945404]"
6,3,6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,2,"[0.12473117 0.08419355 0.07455572 0.07836838 0.08345267 0.08985498
 0.46484352]","[ 32.16671351  21.71253319  19.22705115  20.21029132  21.52146929
  23.1725513  119.87771889]"
7,3,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,2,"[0.07889484 0.09068265 0.06400247 0.07069752 0.08446426 0.0881977
 0.52306054]","[ 34.50687106  39.66260157  27.99327683  30.92154484  36.94281405
  38.57573918 228.77519728]"
8,3,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,4,"[0.1132074  0.11957872 0.10633725 0.10675433 0.10467863 0.1109028
 0.33854087]","[21.87836918 23.1096862  20.5506487  20.63125512 20.23010543 21.43298349
 65.42613112]"
9,3,8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,4,"[0.13373189 0.13564188 0.13058468 0.11885314 0.1154376  0.12265879
 0.24309202]","[23.00360694 23.3321496  22.46224507 20.44427046 19.85675292 21.09889074
 41.81495568]"
