index,true_label,alcohol,malic_acid,ash,alcalinity_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,OD280_OD315_of_diluted_wines,proline,label,description_lengths,description_lengths_unnormalized
0,0,14.23,1.71,2.43,15.6,127.0,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065.0,0,[0.10452356 0.271371   0.62410544],[ 20.59625201  53.47335815 122.97929139]
1,0,13.2,1.78,2.14,11.2,100.0,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050.0,0,[0.1313961  0.21026982 0.65833408],[ 22.03938079  35.26905723 110.42394352]
2,0,13.16,2.36,2.67,18.6,101.0,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185.0,0,[0.1097443  0.26950948 0.62074622],[ 19.03814094  46.75376873 107.68535767]
3,0,14.37,1.95,2.5,16.8,113.0,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480.0,0,[0.1069776  0.33449971 0.55852269],[ 30.30654543  94.7631163  158.22839135]
4,0,13.24,2.59,2.87,21.0,118.0,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735.0,0,[0.16900392 0.21715563 0.61384045],[23.08391376 29.66086163 83.84326218]
5,0,14.2,1.76,2.45,15.2,112.0,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450.0,0,[0.08738589 0.32863254 0.58398157],[ 18.53640911  69.70996024 123.8749292 ]
6,0,14.39,1.87,2.45,14.6,96.0,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290.0,0,[0.0990556  0.26709586 0.63384855],[ 18.34837323  49.47498845 117.40971885]
7,0,14.06,2.15,2.61,17.6,121.0,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295.0,0,[0.1149831  0.30055154 0.58446537],[19.14279314 50.03688316 97.30386217]
8,0,14.83,1.64,2.17,14.0,97.0,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045.0,0,[0.10650642 0.28764678 0.6058468 ],[ 18.56448355  50.13795524 105.60145753]
9,0,13.86,1.35,2.27,16.0,98.0,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045.0,0,[0.09339137 0.28415583 0.62245279],[ 17.29164631  52.61216277 115.2486909 ]
10,0,14.1,2.16,2.3,18.0,105.0,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510.0,0,[0.08852395 0.31472842 0.59674764],[ 19.7543209   70.23236374 133.16559565]
11,0,14.12,1.48,2.32,16.8,95.0,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280.0,0,[0.1313918  0.27383638 0.59477182],[20.29462518 42.29644895 91.86776453]
12,0,13.75,1.73,2.41,16.0,89.0,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320.0,0,[0.08663856 0.26011184 0.65324961],[ 16.23592489  48.74453661 122.41791828]
13,0,14.75,1.73,2.39,11.4,91.0,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150.0,0,[0.15186668 0.2790235  0.56910982],[ 33.95111031  62.37811597 127.22942246]
14,0,14.38,1.87,2.38,12.0,102.0,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547.0,0,[0.11613792 0.30991932 0.57394276],[ 30.50743947  81.41048645 150.76491146]
15,0,13.63,1.81,2.7,17.2,112.0,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310.0,0,[0.09679982 0.3177233  0.58547688],[ 19.2411817   63.15478247 116.37693809]
16,0,14.3,1.92,2.72,20.0,120.0,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280.0,0,[0.11189049 0.31987363 0.56823587],[ 20.03611328  57.27943604 101.75340106]
17,0,13.83,1.57,2.62,20.0,115.0,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130.0,0,[0.11969407 0.31977056 0.56053537],[19.77126192 52.82022425 92.59014819]
18,0,14.19,1.59,2.48,16.5,108.0,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680.0,0,[0.12477817 0.35963345 0.51558838],[ 32.10621262  92.53595776 132.66414738]
19,0,13.64,3.1,2.56,15.2,116.0,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845.0,0,[0.12557504 0.25190767 0.6225173 ],[ 20.28789095  40.69817862 100.57383447]
20,0,14.06,1.63,2.28,16.0,126.0,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780.0,0,[0.11197232 0.25769911 0.63032857],[ 19.44911291  44.7612346  109.48537997]
21,0,12.93,3.8,2.65,18.6,102.0,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770.0,0,[0.18694378 0.21435677 0.59869945],[25.19089463 28.8848274  80.67545799]
22,0,13.71,1.86,2.36,16.6,101.0,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035.0,0,[0.10685325 0.22412441 0.66902235],[ 17.55221154  36.81571862 109.89672484]
23,0,12.85,1.6,2.52,17.8,95.0,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015.0,0,[0.15616401 0.20221564 0.64162035],[22.21434772 28.76519638 91.27056479]
24,0,13.5,1.81,2.61,20.0,96.0,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845.0,0,[0.14172389 0.19400233 0.66427378],[ 21.40643064  29.30273338 100.33404171]
25,0,13.05,2.05,3.22,25.0,124.0,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830.0,1,[0.2552369  0.20220762 0.54255547],[46.8748906  37.13593205 99.64165899]
26,0,13.39,1.77,2.62,16.1,93.0,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195.0,0,[0.11478359 0.24843732 0.6367791 ],[17.16778497 37.15791166 95.2408512 ]
27,0,13.3,1.72,2.14,17.0,94.0,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285.0,0,[0.18390513 0.25500795 0.56108692],[24.46968273 33.93034001 74.65598573]
