alcohol,malic_acid,ash,alcalinity_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,OD280_OD315_of_diluted_wines,proline,class,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4,instance_hardness,comittee_vote
14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779762518802,0.03373108659160018,0.16901408450704225,0.7514044943820224,0.0,0.24023363231377426,0.05084745762711862,0.12623243815031204,0.0,0.3220338983050848,0.6538461538461539,0.2057369614512471,0.4699355231070714,0.5977813562354627,0.038295475895209985,1
13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035791044682654594,0.033734332442089565,0.16901408450704225,0.7514044943820224,0.0,0.38946646702687626,0.6610169491525424,0.4497708710296655,0.0,0.3728813559322034,0.7692307692307693,0.27980085348506384,0.46419254836282475,0.5542483660130718,0.04749865513315199,1
13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787798533827186,0.03373108749990161,0.16901408450704225,0.7514044943820224,0.0,0.3512956181025113,0.47457627118644063,0.2926343867110436,0.0,0.30508474576271183,0.7692307692307693,0.2648189464642973,0.4976138189493376,0.6027397260273972,0.04463449122276997,1
14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779760100281,0.03373108656742396,0.16901408450704225,0.7514044943820224,0.0,0.2885690299642417,0.15254237288135597,0.21493352111892816,0.0,0.5593220338983051,0.6153846153846154,0.1808107319918343,0.44548569926829085,0.6250407777125333,0.037604213702603584,1
13.24,2.59,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,1,0.0,0.9824561403508771,0.0,1.0,1.0,0.04249288267834639,0.04043368432559352,0.16901408450704225,0.7514044943820224,0.0,0.4070085892870511,0.7457627118644068,0.5017059679054121,0.0,0.6101694915254237,0.8461538461538461,0.3191358024691356,0.5234899695967778,0.6416219439475254,0.16903633273844254,1
14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779760100281,0.03373108656742402,0.16901408450704225,0.7514044943820224,0.0,0.2620282895518492,0.10169491525423724,0.18971236665301283,0.0,0.38983050847457623,0.6538461538461539,0.18683612123477558,0.4725601470989699,0.6567164179104478,0.022021291920402364,1
14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.0357877976022154,0.033731086568636104,0.16901408450704225,0.7514044943820224,0.0,0.27728917273187803,0.11864406779661019,0.28985041673033907,0.0,0.30508474576271183,0.6923076923076923,0.2272300469483568,0.47872188099276564,0.6428145609583291,0.04178757997898952,1
14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.03578779761541684,0.03373108658183266,0.16901408450704225,0.7514044943820224,0.0,0.3074429070868795,0.06779661016949157,0.20323167604592862,0.0,0.3728813559322034,0.7692307692307692,0.22570480550936578,0.4786858442310095,0.619718309859155,0.03432081050568481,1
14.83,1.64,2.17,14.0,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787797678489275,0.033731086644881614,0.16901408450704225,0.7514044943820224,0.0,0.335584185715069,0.18644067796610164,0.35059470461328746,0.0,0.288135593220339,0.6923076923076923,0.3083916083916081,0.46787588963845184,0.6428145609583291,0.037628678548244254,1
13.86,1.35,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,1,0.0,0.01754385964912286,0.0,0.6,0.6,0.035787797602918836,0.03373108656933932,0.16901408450704225,0.7514044943820224,0.0,0.2739471485856495,0.2542372881355932,0.3912850407445767,0.0,0.2542372881355932,0.6923076923076923,0.25343000557724477,0.46310789573911804,0.5969546427561695,0.04455244265698899,1
